PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40735669,Thyroid Function in the Time of COVID-19: A Systematic Review of Disease Progression and Vaccination Effect.,2024,,,
40735326,"Neutralizing antibody response to Omicron subvariants BA.1 and BA.5 in children and adolescents following the two-dose CoronaVac protocol (Immunita-002, Brazil): a 12-month longitudinal study.",2025,"Camila Amormino Corsini, Priscila Fernanda da Silva Martins, Priscilla Soares Filgueiras, Ana Esther de Souza Lima, Sarah Vieira Contin Gomes, Caroline De Almeida Leitao Curimbaba, Daniela Aparecida Lorencini, Eolo Morandi Junior, Victor Mattos da Silva, Jaquelline Germano de Oliveira, Olindo Assis Martins Filho, Rafaella Fortini Queiroz E Grenfell","Instituto René Rachou, Oswaldo Cruz Foundation (FIOCRUZ), Belo Horizonte, Minas Gerais, Brazil., Instituto Butantan, São Paulo, São Paulo, Brazil.",
40735320,Comparison of SARS-CoV-2 IgG responses in hemodialysis patients and healthcare workers after COVID-19 vaccination.,2025,,,
40735054,"Corrigendum to ""COVID-19 vaccine hesitancy among Marshallese in Northwest Arkansas (USA)"".",2025,,,
40734504,Response to COVID-19 vaccination: Psychological stress and intentions of nursing personnel in Taiwan.,2025,,,
40733750,"100-Day Mission for Future Pandemic Vaccines, Viewed Through the Lens of Low- and Middle-Income Countries (LMICs).",2025,"Yodira Guadalupe Hernandez-Ruiz, Erika Zoe Lopatynsky-Reyes, Frederic W Nikiema, Enrique Chacon-Cruz","Escuela de Medicina, Universidad de Monterrey, San Pedro Garza García, Nuevo León 66238, Mexico., Institut de Recherche en Sciences de la Santé, Direction Régionale de l'Ouest, 399 Avenue de la Liberté, Bobo-Dioulasso 01, Hauts-Bassins 0P1 BP 545, Burkina Faso., Think Vaccines LLC., Houston, TX 77005, USA.",
40733749,Mucosal Vaccination Against SARS-CoV-2 Using Human Probiotic ,2025,"Raul Ramos Pupo, Laura M Reyes Diaz, Yusnaby Borrego Gonzalez, Miriam Lastre Gonzalez, Oliver Perez","Instituto de Ciencias Básicas y Preclínicas ""Victoria de Girón"", Universidad de Ciencias Médicas de La Habana, Havana 11300, Cuba.",
40733738,Adaptation of the Vaccine Prophylaxis Strategy to Variants of the SARS-CoV-2 Virus.,2025,,,
40733737,Neutralization Activity of Standard and Hyperimmune Intravenous Immunoglobulins Against Recently Circulating SARS-CoV-2 Variants.,2025,,,
40733735,XBB.1.5 COVID-19 mRNA Vaccines Induce Inadequate Mucosal Immunity in Patients with Inflammatory Bowel Disease.,2025,Star Sign Study Investigators,,
40733732,"Clinical Course, Outcomes, and Risk Factors of Myocarditis and Pericarditis Following Administration of mRNA-1273 Vaccination: A Protocol for a Federated Real-World Evidence Vaccine Safety Study Using Data from Five European Data Sources.",2025,"Corine Baljé, Samantha St Laurent, Daina B Esposito, Lei Zhu, Veronica V Urdaneta, Magalie Emilebacker, Daniel Weibel, Felipe Villalobos, Carlo Alberto Bissacco","Fundació Institut Universitari per a la Recerca a l'Atenció Primària de Salut Jordi Gol i Gurina (IDIAPJGol), 08029 Barcelona, Spain., ModernaTX, Inc., Cambridge, MA 02142, USA., Clin-Q B.V., 9723 DJ Groningen, The Netherlands., Vaccine Monitoring Collaboration for Europe (VAC4EU), 1000 Brussels, Belgium.",
40733729,Coverage and Vaccine Hesitancy of Influenza Vaccination Among Reproductive-Age Women (18-49 Years Old) in China: A National Cross-Sectional Study.,2025,,,
40733728,Breakthrough Infection After a Primary Series of COVID-19 Vaccination Induces Stronger Humoral Immunity and Equivalent Cellular Immunity to the Spike Protein Compared with Booster Shots.,2025,,,
40733727,The Anti-Nucleocapsid IgG Antibody as a Marker of SARS-CoV-2 Infection for Hemodialysis Patients.,2025,,,
